,HVAC Heating Type,ASHRAE IECC Climate Zone 2004,Vintage,Geometry Building Type RECS,Heating Fuel,Windows,Water Heater Fuel,HVAC Cooling Type,HVAC Heating Type And Fuel,Infiltration,City
490,Ducted Heating,4A,1950s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Electricity Electric Furnace,25 ACH50,"TN, Knoxville"
492,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"CA, San Diego"
493,Ducted Heating,4A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"MO, Blue Springs"
494,Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"MN, Minneapolis"
495,Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Shared Heating,15 ACH50,"NY, New York"
498,Non-Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"MN, St Paul"
499,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,6 ACH50,"CA, Menifee"
500,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Fuel Oil,"Single, Clear, Non-metal",Natural Gas,Room AC,Fuel Oil Shared Heating,40 ACH50,"NY, New York"
502,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"OR, Bend"
505,Ducted Heating,2A,1970s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Central AC,Electricity Electric Furnace,40 ACH50,"LA, New Orleans"
508,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"CA, Los Angeles"
509,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"GA, Columbus"
511,Non-Ducted Heating,2B,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Natural Gas,Room AC,Electricity Baseboard,20 ACH50,"AZ, Phoenix"
512,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"OH, Toledo"
513,Ducted Heat Pump,3A,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Heat Pump,Electricity ASHP,5 ACH50,"AL, Auburn"
515,Non-Ducted Heating,5A,1950s,Single-Family Detached,Fuel Oil,"Double, Clear, Metal, Air, Exterior Clear Storm",Electricity,Room AC,Fuel Oil Fuel Wall/Floor Furnace,15 ACH50,"CT, Meriden"
519,Non-Ducted Heating,4A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"VA, Virginia Beach"
522,Ducted Heating,4C,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,10 ACH50,"WA, Olympia"
523,Ducted Heating,4A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"TN, Clarksville"
524,Non-Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Electricity Baseboard,20 ACH50,"FL, Bonita Springs"
525,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Room AC,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"KY, Louisville Jefferson County Metro Government Balance"
527,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,6 ACH50,"CO, Grand Junction"
528,Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"KY, Lexington-Fayette"
529,Non-Ducted Heating,4C,1970s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Room AC,Electricity Baseboard,15 ACH50,"OR, Eugene"
533,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,4 ACH50,"CA, Redondo Beach"
534,Ducted Heating,7A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Room AC,Natural Gas Fuel Furnace,10 ACH50,"MN, Duluth"
536,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal, Exterior Clear Storm",Natural Gas,Room AC,Natural Gas Fuel Boiler,15 ACH50,"NE, Lincoln"
537,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Boiler,15 ACH50,"IL, Chicago"
539,Ducted Heating,4A,1960s,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"NY, New York"
540,Ducted Heating,3B,1960s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,20 ACH50,"NV, Las Vegas"
542,Non-Ducted Heating,5B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"WA, Spokane"
543,Ducted Heat Pump,2A,2000s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Heat Pump,Electricity ASHP,10 ACH50,"FL, North Port"
545,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,50 ACH50,"NY, New York"
546,Ducted Heating,3C,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, Berkeley"
547,Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,None,Natural Gas Fuel Furnace,15 ACH50,"WA, Seattle"
548,Non-Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"LA, Shreveport"
552,Non-Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal, Exterior Clear Storm",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"NY, Binghamton"
553,Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,6 ACH50,"VA, Richmond"
554,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"NV, Paradise"
555,Non-Ducted Heating,2A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"LA, New Orleans"
556,Ducted Heating,5A,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,7 ACH50,"IN, Indianapolis City Balance"
557,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,40 ACH50,"OH, Cleveland"
560,Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,None,Natural Gas Fuel Furnace,30 ACH50,"WI, Green Bay"
561,Ducted Heating,5B,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"WA, Spokane Valley"
564,Ducted Heating,6A,1980s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,3 ACH50,"MN, Eden Prairie"
567,Ducted Heat Pump,3A,1970s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,25 ACH50,"NC, Fayetteville"
568,Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"WI, Madison"
569,Ducted Heat Pump,2B,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Heat Pump,Electricity ASHP,5 ACH50,"AZ, Casa Grande"
571,Ducted Heating,6B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MT, Missoula"
572,Non-Ducted Heating,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Baseboard,50 ACH50,"FL, Clearwater"
573,Non-Ducted Heating,5A,1990s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,10 ACH50,"IN, Lafayette"
574,Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"DC, Washington"
580,Non-Ducted Heating,6A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,2 ACH50,"SD, Sioux Falls"
581,Ducted Heating,2B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"AZ, Tucson"
584,Non-Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"CA, Los Angeles"
585,Ducted Heating,3A,2010s,Multi-Family with 5+ Units,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"TX, Dallas"
586,Ducted Heating,3A,1960s,Single-Family Detached,Electricity,"Single, Clear, Metal",Natural Gas,Central AC,Electricity Electric Furnace,25 ACH50,"AL, Huntsville"
587,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"GA, Dunwoody"
590,Ducted Heating,3B,1990s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"NV, Sunrise Manor"
591,Ducted Heating,4A,1960s,Single-Family Attached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"PA, Philadelphia"
592,Ducted Heating,5A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"MI, Farmington Hills"
593,Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Shared Heating,25 ACH50,"IL, Chicago"
595,Non-Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"MA, Chicopee"
596,Non-Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Boiler,25 ACH50,"OK, Oklahoma City"
598,Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,25 ACH50,"WI, Sheboygan"
601,Ducted Heating,3A,1970s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,10 ACH50,"TX, Arlington"
602,Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,25 ACH50,"PA, Philadelphia"
603,Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"MD, Baltimore"
604,Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"NY, New York"
607,Ducted Heating,1A,1990s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,10 ACH50,"FL, Coconut Creek"
608,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Furnace,15 ACH50,"UT, St George"
609,Non-Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Non-metal, Exterior Clear Storm",Natural Gas,Room AC,Natural Gas Fuel Boiler,40 ACH50,"IL, Chicago"
611,Ducted Heating,5A,1950s,Single-Family Detached,Fuel Oil,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Fuel Oil,Room AC,Fuel Oil Fuel Furnace,20 ACH50,"CT, Stratford"
612,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"IN, Indianapolis City Balance"
613,Non-Ducted Heating,3B,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, Huntington Beach"
614,Ducted Heating,3A,2000s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Central AC,Electricity Electric Furnace,10 ACH50,"AR, Conway"
616,Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,10 ACH50,"CA, Laguna Niguel"
617,Ducted Heating,2B,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"AZ, Casas Adobes"
618,Non-Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"NY, New York"
619,Ducted Heating,3A,1940s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"TX, Dallas"
620,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,40 ACH50,"IL, Chicago"
621,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"IL, Champaign"
622,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"GA, Atlanta"
623,Ducted Heating,2B,1980s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"AZ, Mesa"
624,Ducted Heating,4A,2000s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"VA, Arlington"
626,Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Electricity,Central AC,Natural Gas Fuel Furnace,40 ACH50,"OH, Cincinnati"
627,Ducted Heating,4C,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,None,Natural Gas Fuel Furnace,25 ACH50,"OR, Albany"
628,Non-Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"MS, Jackson"
629,Ducted Heating,2A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"GA, Savannah"
634,Ducted Heating,3C,1960s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Livermore"
635,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,8 ACH50,"MA, Boston"
638,Non-Ducted Heating,2B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"AZ, Tucson"
639,Ducted Heating,4A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"MO, St Charles"
641,Ducted Heating,3A,1980s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NC, Charlotte"
642,Ducted Heating,5A,1950s,Single-Family Detached,Fuel Oil,"Double, Clear, Non-metal, Air",Fuel Oil,Room AC,Fuel Oil Fuel Furnace,25 ACH50,"MA, Waltham"
643,Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,30 ACH50,"DC, Washington"
646,Ducted Heat Pump,1A,1970s,Multi-Family with 5+ Units,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,25 ACH50,"FL, Pompano Beach"
647,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"TX, Fort Worth"
648,Ducted Heating,3C,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, Napa"
649,Non-Ducted Heating,3A,1970s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Room AC,Electricity Baseboard,15 ACH50,"AL, Decatur"
650,Ducted Heating,5A,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MI, Troy"
651,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Midland"
653,Non-Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Boiler,20 ACH50,"OR, Portland"
655,Non-Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,None,Natural Gas Fuel Boiler,5 ACH50,"NV, Reno"
658,Non-Ducted Heating,3C,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"CA, Oakland"
661,Ducted Heat Pump,2A,1980s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"FL, Boca Raton"
662,Ducted Heating,5A,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,7 ACH50,"IN, Greenwood"
663,Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"WI, Kenosha"
664,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Shared Heating,30 ACH50,"MD, Baltimore"
668,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"MI, Dearborn"
669,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"IA, Iowa City"
670,Ducted Heating,3B,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, El Cajon"
671,Non-Ducted Heating,3B,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, Redding"
672,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,6 ACH50,"TX, Lubbock"
673,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NM, Rio Rancho"
675,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"TX, Dallas"
678,Non-Ducted Heating,3C,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, San Francisco"
679,Ducted Heating,4C,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,4 ACH50,"WA, Kirkland"
683,Ducted Heating,2A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"LA, Baton Rouge"
684,Ducted Heating,3C,2000s,Multi-Family with 5+ Units,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Room AC,Electricity Electric Furnace,15 ACH50,"CA, San Francisco"
686,Non-Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,40 ACH50,"KS, Wichita"
687,Ducted Heat Pump,2A,1990s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,20 ACH50,"FL, Jacksonville"
688,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,30 ACH50,"IL, Chicago"
690,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,10 ACH50,"MI, Detroit"
692,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"GA, Sandy Springs"
693,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"MI, Detroit"
694,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,50 ACH50,"TX, Wichita Falls"
695,Ducted Heating,5B,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,6 ACH50,"CO, Thornton"
696,Ducted Heat Pump,3A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,8 ACH50,"GA, Athens-Clarke County Unified Government Balance"
697,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NC, Durham"
701,Ducted Heating,2A,1980s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,25 ACH50,"TX, Corpus Christi"
702,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"NM, Santa Fe"
706,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"OK, Tulsa"
707,Ducted Heat Pump,2A,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Heat Pump,Electricity ASHP,2 ACH50,"FL, Jacksonville"
708,Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Fuel Oil,"Double, Clear, Metal, Air",Natural Gas,Room AC,Fuel Oil Shared Heating,30 ACH50,"NY, New York"
709,Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Los Angeles"
710,Non-Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"CA, Sacramento"
711,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,10 ACH50,"OH, Lorain"
713,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air, Exterior Clear Storm",Electricity,Central AC,Natural Gas Fuel Furnace,5 ACH50,"NC, Charlotte"
714,Ducted Heating,3A,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Electricity Electric Furnace,8 ACH50,"SC, Charleston"
716,Ducted Heating,6A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"WI, Milwaukee"
718,Ducted Heating,4A,1960s,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,30 ACH50,"NY, New York"
721,Ducted Heating,4B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"TX, Amarillo"
723,Non-Ducted Heating,3A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Room AC,Natural Gas Fuel Boiler,15 ACH50,"GA, Atlanta"
